roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,academic_strength,is_at_risk,performance_balance,socioeconomic_proxy,parental_education_level,gender_binary,high_achiever,science_strong,is_outlier
std-9268,female,group E,some college,1.0,1.0,37.0,40.0,95.0,98.0,270.0,B,67.5,0,33.53108010985231,1.0,3.0,1,1,1,False
std-9269,female,group C,high school,1.0,0.0,65.0,58.0,75.0,95.0,293.0,B,73.25,0,16.09088769044973,0.5,2.0,1,1,1,False
std-9270,female,group D,bachelor's degree,1.0,1.0,31.0,74.0,100.0,74.0,279.0,B,69.75,0,28.59341416014068,1.0,5.0,1,1,1,False
std-9271,female,group D,some high school,1.0,0.0,66.0,73.0,63.0,36.0,238.0,C,59.5,0,16.217274740226856,0.5,1.0,1,0,0,False
std-9272,female,group D,high school,0.0,1.0,81.0,100.0,55.0,91.0,327.0,A,81.75,0,19.448650338776723,0.5,2.0,1,1,1,False
std-9273,female,group B,some college,0.0,0.0,56.0,89.0,61.0,59.0,265.0,B,66.25,0,15.305227865013967,0.0,3.0,1,1,0,False
std-9274,female,group E,bachelor's degree,1.0,0.0,32.0,44.0,38.0,70.0,184.0,D,46.0,1,16.73320053068151,0.5,5.0,1,0,1,False
std-9275,female,group C,some college,1.0,1.0,42.0,81.0,64.0,54.0,241.0,C,60.25,0,16.5,1.0,3.0,1,0,0,False
std-9276,female,group B,associate's degree,1.0,1.0,100.0,100.0,53.0,61.0,,B,78.5,0,25.03996805109783,1.0,4.0,1,1,0,False
std-9277,female,group C,high school,1.0,1.0,58.0,96.0,100.0,70.0,324.0,A,81.0,0,20.29778313018444,1.0,2.0,1,1,0,False
std-9278,female,group D,associate's degree,1.0,1.0,58.0,51.0,94.0,,297.0,B,,0,23.072349974229617,1.0,4.0,1,1,0,False
std-9279,female,group C,some college,1.0,0.0,51.0,100.0,82.0,100.0,333.0,A,83.25,0,23.11384866265244,0.5,3.0,1,1,1,False
std-9280,female,group A,bachelor's degree,0.0,0.0,68.0,,99.0,,253.0,B,,0,21.920310216782973,0.0,5.0,1,1,0,False
std-9281,female,group A,high school,1.0,1.0,,82.0,58.0,53.0,275.0,B,,0,15.50268793897798,1.0,2.0,1,1,0,False
std-9282,female,group C,associate's degree,1.0,,74.0,91.0,85.0,79.0,329.0,A,82.25,0,7.365459931328117,,4.0,1,1,0,False
std-9283,female,group D,some college,,1.0,33.0,23.0,100.0,82.0,238.0,C,59.5,0,37.33184520843655,,3.0,1,0,1,False
std-9284,female,group B,,1.0,0.0,60.0,92.0,68.0,61.0,281.0,B,70.25,0,14.930394055974098,0.5,,1,1,0,False
std-9285,female,,associate's degree,1.0,0.0,85.0,50.0,96.0,82.0,313.0,B,78.25,0,19.771612647092464,0.5,4.0,1,1,1,False
std-9286,,group E,master's degree,1.0,0.0,54.0,58.0,77.0,50.0,239.0,C,59.75,0,11.954775893619532,0.5,6.0,0,0,0,False
std-9287,female,group C,bachelor's degree,1.0,1.0,89.0,83.0,75.0,76.0,323.0,A,80.75,0,6.551081335677848,1.0,5.0,1,1,0,False
std-9288,female,group C,associate's degree,1.0,1.0,66.0,45.0,53.0,91.0,255.0,B,63.75,0,20.12254125767088,1.0,4.0,1,1,1,False
std-9289,female,group D,high school,1.0,0.0,68.0,88.0,94.0,94.0,344.0,A,86.0,0,12.328828005937952,0.5,2.0,1,1,1,False
std-9290,female,group E,some college,1.0,0.0,62.0,78.0,69.0,81.0,290.0,B,72.5,0,8.660254037844387,0.5,3.0,1,1,1,False
std-9291,female,group C,some college,0.0,0.0,72.0,59.0,41.0,67.0,239.0,C,59.75,0,13.59840676942217,0.0,3.0,1,0,1,False
std-9292,female,group C,master's degree,0.0,1.0,27.0,80.0,65.0,68.0,240.0,C,60.0,0,22.93468988235943,0.5,6.0,1,0,1,False
std-9293,female,group D,bachelor's degree,1.0,1.0,60.0,57.0,100.0,44.0,261.0,B,65.25,0,24.185050478894325,1.0,5.0,1,1,0,False
std-9294,female,group B,associate's degree,1.0,1.0,81.0,76.0,56.0,48.0,261.0,B,65.25,0,15.777093099385155,1.0,4.0,1,1,0,False
std-9295,female,group D,associate's degree,0.0,1.0,55.0,26.0,15.0,66.0,162.0,D,40.5,1,23.951339558919592,0.5,4.0,1,0,1,True
std-9296,female,group A,some college,1.0,1.0,61.0,54.0,100.0,87.0,302.0,B,75.5,0,21.641010450839243,1.0,3.0,1,1,1,False
std-9297,female,group C,high school,0.0,0.0,39.0,56.0,83.0,58.0,236.0,C,59.0,0,18.12916618784953,0.0,2.0,1,0,0,False
std-9298,female,group C,some college,0.0,0.0,54.0,59.0,71.0,71.0,255.0,B,63.75,0,8.616843969807043,0.0,3.0,1,1,1,False
std-9299,female,group A,master's degree,1.0,1.0,49.0,57.0,74.0,58.0,238.0,C,59.5,0,10.472185381603339,1.0,6.0,1,0,0,False
std-9300,female,group C,master's degree,1.0,0.0,51.0,74.0,86.0,87.0,298.0,B,74.5,0,16.743157806499145,0.5,6.0,1,1,1,False
std-9301,female,group C,bachelor's degree,1.0,0.0,71.0,74.0,100.0,77.0,322.0,A,80.5,0,13.228756555322953,0.5,5.0,1,1,0,False
std-9302,female,group E,some college,0.0,0.0,90.0,90.0,83.0,70.0,333.0,A,83.25,0,9.429563439877091,0.0,3.0,1,1,0,False
std-9303,female,group E,high school,1.0,1.0,72.0,75.0,77.0,63.0,287.0,B,71.75,0,6.18465843842649,1.0,2.0,1,1,0,False
std-9304,female,group E,some high school,1.0,0.0,48.0,64.0,94.0,82.0,288.0,B,72.0,0,20.199009876724155,0.5,1.0,1,1,1,False
std-9305,female,group E,associate's degree,0.0,1.0,27.0,82.0,49.0,40.0,198.0,D,49.5,1,23.473389188611005,0.5,4.0,1,0,0,False
std-9306,female,group D,bachelor's degree,0.0,1.0,59.0,76.0,40.0,72.0,247.0,C,61.75,0,16.214705259938174,0.5,5.0,1,0,1,False
std-9307,female,group C,some high school,0.0,0.0,55.0,89.0,62.0,81.0,287.0,B,71.75,0,15.903353943953666,0.0,1.0,1,1,1,False
std-9308,female,group E,some high school,1.0,1.0,73.0,59.0,100.0,87.0,319.0,B,79.75,0,17.68945071692919,1.0,1.0,1,1,1,False
std-9309,female,group A,high school,0.0,0.0,71.0,83.0,26.0,41.0,221.0,C,55.25,0,26.31064423384574,0.0,2.0,1,0,0,False
std-9310,female,group C,associate's degree,1.0,1.0,64.0,100.0,73.0,76.0,313.0,B,78.25,0,15.370426148939398,1.0,4.0,1,1,0,False
std-9311,female,group C,associate's degree,0.0,0.0,67.0,100.0,77.0,75.0,319.0,B,79.75,0,14.174507634012077,0.0,4.0,1,1,0,False
std-9312,female,group C,some high school,0.0,0.0,57.0,39.0,73.0,73.0,242.0,C,60.5,0,16.19670748434179,0.0,1.0,1,0,1,False
std-9313,female,group A,some high school,1.0,1.0,64.0,68.0,59.0,86.0,277.0,B,69.25,0,11.757976016304847,1.0,1.0,1,1,1,False
std-9314,female,group B,high school,1.0,1.0,77.0,49.0,74.0,59.0,259.0,B,64.75,0,13.124404748406688,1.0,2.0,1,1,0,False
std-9315,female,group A,some college,1.0,1.0,64.0,45.0,45.0,69.0,223.0,C,55.75,0,12.579745625409124,1.0,3.0,1,0,1,False
std-9316,female,group D,associate's degree,0.0,0.0,34.0,92.0,66.0,57.0,249.0,C,62.25,0,23.97741993348464,0.0,4.0,1,0,0,False
std-9317,female,group D,associate's degree,1.0,0.0,93.0,72.0,95.0,48.0,308.0,B,77.0,0,21.95449840010015,0.5,4.0,1,1,0,False
std-9318,female,group D,some college,1.0,0.0,62.0,76.0,51.0,91.0,280.0,B,70.0,0,17.339742404853272,0.5,3.0,1,1,1,False
std-9319,female,group C,high school,1.0,0.0,73.0,53.0,97.0,60.0,283.0,B,70.75,0,19.36276495407272,0.5,2.0,1,1,0,False
std-9320,female,group D,associate's degree,1.0,0.0,27.0,56.0,85.0,58.0,226.0,C,56.5,0,23.69950773047125,0.5,4.0,1,0,1,False
std-9321,female,group D,associate's degree,0.0,0.0,64.0,100.0,79.0,65.0,308.0,B,77.0,0,16.792855623746664,0.0,4.0,1,1,0,False
std-9322,female,group C,high school,1.0,1.0,68.0,47.0,99.0,53.0,267.0,B,66.75,0,23.243278598338918,1.0,2.0,1,1,0,False
std-9323,female,group A,high school,0.0,0.0,70.0,47.0,79.0,62.0,258.0,B,64.5,0,13.576941236277534,0.0,2.0,1,1,0,False
std-9324,female,group C,high school,1.0,1.0,71.0,92.0,86.0,99.0,348.0,A,87.0,0,11.916375287812984,1.0,2.0,1,1,1,False
std-9325,female,group C,associate's degree,1.0,0.0,72.0,100.0,87.0,96.0,355.0,A,88.75,0,12.419742348374221,0.5,4.0,1,1,1,False
std-9326,female,group C,some high school,1.0,1.0,54.0,100.0,87.0,86.0,327.0,A,81.75,0,19.56825660774783,1.0,1.0,1,1,1,False
std-9327,female,group E,high school,0.0,1.0,58.0,88.0,73.0,83.0,302.0,B,75.5,0,13.228756555322953,0.5,2.0,1,1,1,False
std-9328,female,group D,associate's degree,1.0,0.0,79.0,74.0,77.0,68.0,298.0,B,74.5,0,4.795831523312719,0.5,4.0,1,1,0,False
std-9329,female,group D,high school,1.0,0.0,36.0,70.0,67.0,76.0,249.0,C,62.25,0,17.89553016817328,0.5,2.0,1,0,1,False
std-9330,female,group A,high school,1.0,0.0,91.0,73.0,97.0,65.0,326.0,A,81.5,0,15.0,0.5,2.0,1,1,0,False
std-9331,female,group E,bachelor's degree,1.0,0.0,97.0,31.0,79.0,37.0,244.0,C,61.0,0,32.12475680841802,0.5,5.0,1,0,0,False
std-9332,female,group C,bachelor's degree,1.0,1.0,27.0,94.0,100.0,91.0,312.0,B,78.0,0,34.20526275297414,1.0,5.0,1,1,1,False
std-9333,female,group E,associate's degree,1.0,0.0,31.0,85.0,96.0,72.0,284.0,B,71.0,0,28.413611761501446,0.5,4.0,1,1,1,False
std-9334,female,group D,high school,1.0,1.0,64.0,61.0,82.0,31.0,238.0,C,59.5,0,21.142374511865974,1.0,2.0,1,0,0,False
std-9335,female,group E,some high school,1.0,0.0,76.0,67.0,94.0,77.0,314.0,B,78.5,0,11.269427669584644,0.5,1.0,1,1,0,False
std-9336,female,group E,high school,0.0,0.0,53.0,61.0,53.0,64.0,231.0,C,57.75,0,5.619905100029122,0.0,2.0,1,0,1,False
std-9337,female,group D,some high school,0.0,0.0,27.0,89.0,79.0,91.0,286.0,B,71.5,0,30.127506811328857,0.0,1.0,1,1,1,False
std-9338,female,group D,high school,0.0,1.0,79.0,75.0,56.0,88.0,298.0,B,74.5,0,13.478377746103819,0.5,2.0,1,1,1,False
std-9339,female,group D,master's degree,1.0,0.0,62.0,59.0,100.0,75.0,296.0,B,74.0,0,18.672618098881223,0.5,6.0,1,1,1,False
std-9340,female,group D,some high school,1.0,1.0,62.0,78.0,72.0,79.0,291.0,B,72.75,0,7.804912982645397,1.0,1.0,1,1,1,False
std-9341,female,group C,associate's degree,1.0,0.0,63.0,86.0,100.0,63.0,312.0,B,78.0,0,18.239152027072603,0.5,4.0,1,1,0,False
std-9342,female,group A,associate's degree,1.0,1.0,87.0,26.0,55.0,58.0,226.0,C,56.5,0,24.933244206614322,1.0,4.0,1,0,1,False
std-9343,female,group C,bachelor's degree,1.0,0.0,49.0,34.0,98.0,40.0,221.0,C,55.25,0,29.159046623646667,0.5,5.0,1,0,0,False
std-9344,female,group A,some college,1.0,1.0,28.0,79.0,87.0,51.0,245.0,C,61.25,0,27.010800309012197,1.0,3.0,1,0,0,False
std-9345,female,group D,high school,1.0,0.0,58.0,100.0,42.0,49.0,249.0,C,62.25,0,26.004807247891687,0.5,2.0,1,0,0,False
std-9346,female,group E,high school,0.0,0.0,60.0,47.0,92.0,74.0,273.0,B,68.25,0,19.29378138157474,0.0,2.0,1,1,1,False
std-9347,female,group C,high school,1.0,0.0,72.0,83.0,34.0,65.0,254.0,B,63.5,0,21.01586702153082,0.5,2.0,1,1,1,False
std-9348,female,group D,associate's degree,1.0,0.0,48.0,73.0,86.0,57.0,264.0,B,66.0,0,16.87206764645835,0.5,4.0,1,1,0,False
std-9349,female,group D,associate's degree,0.0,0.0,83.0,50.0,100.0,75.0,308.0,B,77.0,0,20.800641015763592,0.0,4.0,1,1,0,False
std-9350,female,group C,bachelor's degree,0.0,0.0,70.0,72.0,73.0,85.0,300.0,B,75.0,0,6.782329983125268,0.0,5.0,1,1,1,False
std-9351,female,group E,some college,0.0,0.0,48.0,57.0,68.0,60.0,233.0,C,58.25,0,8.261355820929152,0.0,3.0,1,0,1,False
std-9352,female,group A,some college,1.0,0.0,57.0,100.0,76.0,74.0,307.0,B,76.75,0,17.68945071692919,0.5,3.0,1,1,0,False
std-9353,female,group C,high school,1.0,1.0,58.0,51.0,46.0,86.0,241.0,C,60.25,0,17.858238061652855,1.0,2.0,1,0,1,False
std-9354,female,group D,some college,1.0,0.0,93.0,57.0,60.0,67.0,277.0,B,69.25,0,16.3783393541592,0.5,3.0,1,1,0,False
std-9355,female,group B,associate's degree,0.0,0.0,67.0,89.0,59.0,46.0,261.0,B,65.25,0,18.043927879852916,0.0,4.0,1,1,0,False
std-9356,female,group D,some college,0.0,1.0,84.0,82.0,78.0,76.0,320.0,A,80.0,0,3.6514837167011076,0.5,3.0,1,1,0,False
std-9357,female,group B,some college,1.0,0.0,66.0,83.0,56.0,63.0,268.0,B,67.0,0,11.460075625114056,0.5,3.0,1,1,0,False
std-9358,female,group C,associate's degree,0.0,0.0,70.0,38.0,99.0,35.0,242.0,C,60.5,0,30.160680805755472,0.0,4.0,1,0,0,False
std-9359,female,group B,associate's degree,1.0,0.0,57.0,47.0,83.0,65.0,252.0,B,63.0,0,15.231546211727817,0.5,4.0,1,1,1,False
std-9360,female,group B,high school,1.0,0.0,46.0,96.0,69.0,57.0,268.0,B,67.0,0,21.494185260204677,0.5,2.0,1,1,0,False
std-9361,female,group D,high school,1.0,0.0,49.0,83.0,80.0,67.0,279.0,B,69.75,0,15.478479684172259,0.5,2.0,1,1,0,False
std-9362,female,group A,associate's degree,1.0,0.0,76.0,68.0,84.0,75.0,303.0,B,75.75,0,6.551081335677848,0.5,4.0,1,1,0,False
std-9363,female,group E,some high school,1.0,1.0,71.0,82.0,82.0,77.0,312.0,B,78.0,0,5.228129047119374,1.0,1.0,1,1,0,False
std-9364,female,group B,associate's degree,0.0,1.0,59.0,98.0,72.0,64.0,293.0,B,73.25,0,17.346949779908474,0.5,4.0,1,1,0,False
std-9365,female,group E,associate's degree,1.0,0.0,68.0,73.0,59.0,84.0,284.0,B,71.0,0,10.424330514074594,0.5,4.0,1,1,1,False
std-9366,female,group E,associate's degree,1.0,1.0,96.0,51.0,94.0,81.0,322.0,A,80.5,0,20.760539492026695,1.0,4.0,1,1,1,False
std-9367,female,group B,associate's degree,0.0,1.0,59.0,62.0,27.0,33.0,181.0,D,45.25,1,17.82086791750989,0.5,4.0,1,0,0,False
std-9368,female,group C,high school,1.0,1.0,37.0,74.0,93.0,79.0,283.0,B,70.75,0,23.89386253134195,1.0,2.0,1,1,1,False
std-9369,female,group C,some college,1.0,1.0,51.0,37.0,65.0,48.0,201.0,C,50.25,0,11.528949070347508,1.0,3.0,1,0,0,False
std-9370,female,group C,high school,0.0,0.0,58.0,49.0,85.0,56.0,248.0,C,62.0,0,15.811388300841896,0.0,2.0,1,0,0,False
std-9371,female,group B,some high school,1.0,1.0,39.0,74.0,83.0,64.0,260.0,B,65.0,0,18.991226044325487,1.0,1.0,1,1,0,False
std-9372,female,group D,some high school,0.0,1.0,69.0,89.0,71.0,72.0,301.0,B,75.25,0,9.251126057585278,0.5,1.0,1,1,0,False
std-9373,female,group B,bachelor's degree,1.0,0.0,76.0,45.0,95.0,98.0,314.0,B,78.5,0,24.365275838099322,0.5,5.0,1,1,1,False
std-9374,female,group A,associate's degree,1.0,1.0,28.0,60.0,92.0,68.0,248.0,C,62.0,0,26.43230346879868,1.0,4.0,1,0,1,False
std-9375,female,group A,some college,0.0,1.0,73.0,51.0,58.0,63.0,245.0,C,61.25,0,9.251126057585278,0.5,3.0,1,0,1,False
std-9376,female,group A,bachelor's degree,0.0,1.0,86.0,59.0,39.0,55.0,239.0,C,59.75,0,19.517086531208154,0.5,5.0,1,0,0,False
std-9377,female,group D,some college,1.0,0.0,47.0,68.0,46.0,96.0,257.0,B,64.25,0,23.471614061812335,0.5,3.0,1,1,1,False
std-9378,female,group E,associate's degree,1.0,0.0,88.0,66.0,76.0,59.0,289.0,B,72.25,0,12.606215398233788,0.5,4.0,1,1,0,False
std-9379,female,group D,some college,1.0,0.0,60.0,96.0,93.0,99.0,348.0,A,87.0,0,18.16590212458495,0.5,3.0,1,1,1,False
std-9380,female,group E,some college,0.0,0.0,56.0,67.0,100.0,68.0,291.0,B,72.75,0,18.962682651284688,0.0,3.0,1,1,0,False
std-9381,female,group C,some high school,1.0,1.0,36.0,73.0,75.0,61.0,245.0,C,61.25,0,17.93274472392147,1.0,1.0,1,0,0,False
std-9382,female,group C,master's degree,1.0,1.0,60.0,100.0,61.0,50.0,271.0,B,67.75,0,22.0661883130428,1.0,6.0,1,1,0,False
std-9383,female,group E,associate's degree,0.0,0.0,43.0,72.0,87.0,51.0,253.0,B,63.25,0,20.006249023742555,0.0,4.0,1,1,0,False
std-9384,female,group A,associate's degree,1.0,1.0,42.0,71.0,82.0,60.0,255.0,B,63.75,0,17.05627939108253,1.0,4.0,1,1,0,False
std-9385,female,group D,associate's degree,1.0,0.0,59.0,49.0,71.0,70.0,249.0,C,62.25,0,10.372238588334406,0.5,4.0,1,0,1,False
std-9386,female,group B,some college,1.0,0.0,43.0,44.0,59.0,75.0,221.0,C,55.25,0,15.063753405664428,0.5,3.0,1,0,1,False
std-9387,female,group D,some high school,0.0,0.0,53.0,62.0,83.0,75.0,273.0,B,68.25,0,13.35102992281869,0.0,1.0,1,1,1,False
std-9388,female,group A,associate's degree,1.0,1.0,58.0,96.0,86.0,62.0,302.0,B,75.5,0,18.430047929038782,1.0,4.0,1,1,0,False
std-9389,female,group C,associate's degree,0.0,0.0,37.0,91.0,61.0,85.0,274.0,B,68.5,0,24.677925358506133,0.0,4.0,1,1,1,False
std-9390,female,group A,associate's degree,1.0,1.0,86.0,65.0,51.0,82.0,284.0,B,71.0,0,16.14517471774978,1.0,4.0,1,1,1,False
std-9391,female,group A,some college,1.0,0.0,56.0,65.0,92.0,75.0,288.0,B,72.0,0,15.427248620541512,0.5,3.0,1,1,1,False
std-9392,female,group A,associate's degree,1.0,0.0,73.0,53.0,86.0,37.0,249.0,C,62.25,0,21.623675296612586,0.5,4.0,1,0,0,False
std-9393,female,group D,associate's degree,1.0,0.0,86.0,59.0,82.0,95.0,322.0,A,80.5,0,15.329709716755891,0.5,4.0,1,1,1,False
std-9394,female,group D,some college,1.0,0.0,83.0,54.0,100.0,73.0,310.0,B,77.5,0,19.226717521892983,0.5,3.0,1,1,0,False
std-9395,female,group A,high school,1.0,0.0,68.0,84.0,77.0,27.0,256.0,B,64.0,0,25.521232990067965,0.5,2.0,1,1,0,False
std-9396,female,group C,master's degree,0.0,0.0,77.0,64.0,74.0,75.0,290.0,B,72.5,0,5.802298395176403,0.0,6.0,1,1,1,False
std-9397,female,group C,some high school,0.0,0.0,63.0,76.0,55.0,80.0,274.0,B,68.5,0,11.561430130683084,0.0,1.0,1,1,1,False
std-9398,female,group C,bachelor's degree,1.0,1.0,94.0,77.0,51.0,75.0,297.0,B,74.25,0,17.68945071692919,1.0,5.0,1,1,1,False
std-9399,female,group D,bachelor's degree,1.0,0.0,67.0,100.0,85.0,64.0,316.0,B,79.0,0,16.792855623746664,0.5,5.0,1,1,0,False
std-9400,female,group B,high school,0.0,0.0,59.0,91.0,99.0,45.0,294.0,B,73.5,0,25.68397684679432,0.0,2.0,1,1,0,False
std-9401,female,group B,bachelor's degree,1.0,1.0,92.0,96.0,74.0,80.0,342.0,A,85.5,0,10.246950765959598,1.0,5.0,1,1,0,False
std-9402,female,group A,associate's degree,0.0,1.0,48.0,93.0,80.0,86.0,307.0,B,76.75,0,19.889276842895352,0.5,4.0,1,1,1,False
std-9403,female,group C,high school,1.0,0.0,47.0,100.0,55.0,74.0,276.0,B,69.0,0,23.56551152284485,0.5,2.0,1,1,1,False
std-9404,female,group E,some college,1.0,1.0,83.0,56.0,68.0,47.0,254.0,B,63.5,0,15.588457268119896,1.0,3.0,1,1,0,False
std-9405,female,group B,associate's degree,0.0,1.0,74.0,76.0,95.0,91.0,336.0,A,84.0,0,10.55146119422961,0.5,4.0,1,1,1,False
std-9406,female,group C,some college,1.0,0.0,65.0,100.0,68.0,79.0,312.0,B,78.0,0,15.853495934125487,0.5,3.0,1,1,1,False
std-9407,female,group E,high school,1.0,1.0,53.0,48.0,45.0,80.0,226.0,C,56.5,0,16.010413278030438,1.0,2.0,1,0,1,False
std-9408,female,group C,some high school,1.0,0.0,63.0,45.0,89.0,68.0,265.0,B,66.25,0,18.09926333675858,0.5,1.0,1,1,1,False
std-9409,female,group C,high school,0.0,0.0,32.0,35.0,78.0,60.0,205.0,C,51.25,0,21.80787319601188,0.0,2.0,1,0,1,False
std-9410,female,group B,some college,0.0,1.0,59.0,94.0,95.0,62.0,310.0,B,77.5,0,19.672315572906,0.5,3.0,1,1,0,False
std-9411,female,group A,associate's degree,1.0,0.0,64.0,81.0,42.0,64.0,251.0,B,62.75,0,15.986973864159951,0.5,4.0,1,1,1,False
std-9412,female,group A,some college,1.0,0.0,27.0,63.0,84.0,66.0,240.0,C,60.0,0,23.874672772626646,0.5,3.0,1,0,1,False
std-9413,female,group D,high school,1.0,1.0,61.0,54.0,81.0,63.0,259.0,B,64.75,0,11.5,1.0,2.0,1,1,0,False
std-9414,female,group E,some college,1.0,0.0,63.0,86.0,75.0,62.0,286.0,B,71.5,0,11.32843031197762,0.5,3.0,1,1,0,False
std-9415,female,group A,bachelor's degree,0.0,1.0,100.0,82.0,65.0,46.0,293.0,B,73.25,0,23.11384866265244,0.5,5.0,1,1,0,False
std-9416,female,group C,bachelor's degree,1.0,0.0,69.0,69.0,68.0,66.0,272.0,B,68.0,0,1.4142135623730951,0.5,5.0,1,1,0,False
std-9417,female,group E,some college,1.0,0.0,27.0,73.0,100.0,63.0,263.0,B,65.75,0,30.192438346932718,0.5,3.0,1,1,0,False
std-9418,female,group A,some college,1.0,1.0,78.0,81.0,45.0,72.0,276.0,B,69.0,0,16.431676725154983,1.0,3.0,1,1,1,False
std-9419,female,group B,some high school,1.0,0.0,54.0,80.0,81.0,78.0,293.0,B,73.25,0,12.893796958227627,0.5,1.0,1,1,1,False
std-9420,female,group E,master's degree,0.0,1.0,39.0,100.0,97.0,78.0,314.0,B,78.5,0,28.077274321652617,0.5,6.0,1,1,0,False
std-9421,female,group B,some college,1.0,1.0,81.0,56.0,99.0,69.0,305.0,B,76.25,0,18.282505298782223,1.0,3.0,1,1,0,False
std-9422,female,group C,high school,1.0,0.0,65.0,90.0,67.0,80.0,302.0,B,75.5,0,11.73314393786536,0.5,2.0,1,1,1,False
std-9423,female,group D,bachelor's degree,0.0,1.0,80.0,59.0,79.0,78.0,296.0,B,74.0,0,10.03327796219494,0.5,5.0,1,1,1,False
std-9424,female,group C,master's degree,1.0,1.0,47.0,98.0,39.0,59.0,243.0,C,60.75,0,26.158172719056658,1.0,6.0,1,0,0,False
std-9425,female,group B,bachelor's degree,1.0,0.0,86.0,66.0,96.0,71.0,319.0,B,79.75,0,13.768926368215256,0.5,5.0,1,1,0,False
std-9426,female,group A,some college,0.0,0.0,47.0,49.0,71.0,53.0,220.0,C,55.0,0,10.954451150103322,0.0,3.0,1,0,0,False
std-9427,female,group A,high school,1.0,1.0,51.0,69.0,74.0,41.0,235.0,C,58.75,0,15.4137384606504,1.0,2.0,1,0,0,False
std-9428,female,group D,high school,1.0,0.0,64.0,85.0,70.0,75.0,294.0,B,73.5,0,8.888194417315589,0.5,2.0,1,1,1,False
std-9429,female,group A,bachelor's degree,0.0,0.0,76.0,50.0,96.0,76.0,298.0,B,74.5,0,18.859126879754182,0.0,5.0,1,1,1,False
std-9430,female,group E,some college,0.0,0.0,50.0,50.0,68.0,97.0,265.0,B,66.25,0,22.18670773233379,0.0,3.0,1,1,1,False
std-9431,female,group D,associate's degree,1.0,0.0,71.0,45.0,81.0,63.0,260.0,B,65.0,0,15.231546211727817,0.5,4.0,1,1,0,False
std-9432,female,group B,associate's degree,1.0,0.0,60.0,38.0,84.0,87.0,269.0,B,67.25,0,22.940139493908923,0.5,4.0,1,1,1,False
std-9433,female,group E,associate's degree,1.0,1.0,83.0,41.0,79.0,68.0,271.0,B,67.75,0,18.9274932307477,1.0,4.0,1,1,1,False
std-9434,female,group E,high school,0.0,0.0,85.0,34.0,76.0,75.0,270.0,B,67.5,0,22.781571499789035,0.0,2.0,1,1,1,False
std-9435,female,group A,associate's degree,0.0,0.0,30.0,58.0,70.0,47.0,205.0,C,51.25,0,16.99754884289693,0.0,4.0,1,0,0,False
std-9436,female,group D,some high school,1.0,1.0,85.0,70.0,79.0,89.0,323.0,A,80.75,0,8.261355820929152,1.0,1.0,1,1,1,False
std-9437,female,group B,some high school,1.0,0.0,61.0,92.0,69.0,83.0,305.0,B,76.25,0,13.889444433333777,0.5,1.0,1,1,1,False
std-9438,female,group A,associate's degree,0.0,1.0,91.0,94.0,67.0,53.0,305.0,B,76.25,0,19.653244007033546,0.5,4.0,1,1,0,False
std-9439,female,group C,some high school,0.0,0.0,66.0,69.0,62.0,78.0,275.0,B,68.75,0,6.800735254367722,0.0,1.0,1,1,1,False
std-9440,female,group E,bachelor's degree,1.0,0.0,85.0,96.0,63.0,71.0,315.0,B,78.75,0,14.660036380127666,0.5,5.0,1,1,0,False
std-9441,female,group A,some high school,1.0,0.0,58.0,34.0,76.0,77.0,245.0,C,61.25,0,20.155644370746373,0.5,1.0,1,0,1,False
std-9442,female,group C,bachelor's degree,0.0,0.0,27.0,95.0,69.0,79.0,270.0,B,67.5,0,29.045940622859273,0.0,5.0,1,1,1,False
std-9443,female,group C,high school,0.0,0.0,59.0,63.0,76.0,71.0,269.0,B,67.25,0,7.675719293112969,0.0,2.0,1,1,1,False
std-9444,female,group C,associate's degree,0.0,1.0,51.0,47.0,100.0,54.0,252.0,B,63.0,0,24.8327740429189,0.5,4.0,1,1,0,False
std-9445,female,group D,bachelor's degree,1.0,1.0,58.0,23.0,97.0,73.0,251.0,B,62.75,0,30.987900864692335,1.0,5.0,1,1,1,False
std-9446,female,group D,some college,0.0,0.0,51.0,89.0,73.0,39.0,252.0,B,63.0,0,22.3308456325923,0.0,3.0,1,1,0,False
std-9447,female,group D,associate's degree,0.0,1.0,72.0,84.0,88.0,82.0,326.0,A,81.5,0,6.8068592855540455,0.5,4.0,1,1,1,False
std-9448,female,group C,some college,1.0,0.0,27.0,73.0,71.0,81.0,252.0,B,63.0,0,24.385788210895843,0.5,3.0,1,1,1,False
std-9449,female,group E,master's degree,0.0,0.0,78.0,62.0,100.0,62.0,302.0,B,75.5,0,17.99073835801818,0.0,6.0,1,1,0,False
std-9450,female,group A,associate's degree,0.0,0.0,91.0,70.0,83.0,82.0,326.0,A,81.5,0,8.660254037844387,0.0,4.0,1,1,1,False
std-9451,female,group C,master's degree,0.0,0.0,67.0,25.0,93.0,58.0,243.0,C,60.75,0,28.075790282732914,0.0,6.0,1,0,0,False
std-9452,female,group E,some high school,0.0,0.0,43.0,83.0,79.0,50.0,255.0,B,63.75,0,20.1886932051912,0.0,1.0,1,1,0,False
std-9453,female,group C,some college,1.0,0.0,92.0,83.0,74.0,86.0,335.0,A,83.75,0,7.5,0.5,3.0,1,1,1,False
